job_name,salary,company,work_addr,work_year,education,company_size,state,welfare,modify_time,
前端开发工程师,10K-15K,江苏苏源高科技有限公司,南京-秦淮区,3-5年,大专,100-499人,民营,五险一金/带薪年假/定期体检/节日福利,2019-04-24 13:43:54,
（实习生+理工科优先）.NET开发,4K-6K,才秀人人南京分公司,南京,不限,大专,1000-9999人,民营,,2019-04-24 09:39:34,
Android开发工程师(外包),8K-12K,南京宁普信息技术有限公司,南京-雨花台区,1-3年,大专,20-99人,民营,节日福利/五险一金/绩效奖金/加班补助/交通补助,2019-04-23 09:54:19,
Java中级工程师,10K-20K,常宁数据产业(常州)有限公司,南京-玄武区,3-5年,本科,100-499人,合资,创业公司/五险一金/绩效奖金/交通补助/通讯补助,2019-04-24 09:27:01,
Java应届毕业生,4K-6K,常宁数据产业(常州)有限公司,南京-玄武区,不限,本科,100-499人,合资,创业公司/五险一金/绩效奖金/交通补助/通讯补助,2019-04-24 09:27:01,
Web工程师/参数开发工程师/产品实施顾问,4.5K-8K,南京嘉腾维新软件有限公司,南京,不限,本科,100-499人,外商独资,五险一金/年底双薪/交通补助/餐补/带薪年假,2019-04-24 10:02:22,
java程序员,10K-15K,江苏泊朗智能科技有限公司,南京-雨花台区,3-5年,大专,100-499人,民营,五险一金/包吃/加班补助/节日福利/交通补助,2019-04-24 09:44:37,
5K急聘Java开发实习,6K-8K,南京达内为上信息技术有限公司,南京,不限,中专,1000-9999人,上市公司,五险一金/年底双薪/年终分红/加班补助/餐补,2019-04-24 22:17:43,
JAVA开发五险一金双休,4K-6K,南京达内为上信息技术有限公司,南京,不限,大专,1000-9999人,上市公司,住房补贴/五险一金/交通补助/餐补/加班补助,2019-04-24 08:51:36,
初级Java开发/双休,4K-6K,南京达内为上信息技术有限公司,南京,不限,中专,1000-9999人,外商独资,五险一金/年底双薪/绩效奖金/交通补助/带薪年假,2019-04-24 10:56:53,
初级JAVA开发助理+双休+五险一金,4K-6K,南京达内为上信息技术有限公司,南京,不限,中专,1000-9999人,上市公司,五险一金/年底双薪/交通补助/餐补/带薪年假,2019-04-24 17:05:01,
Java开发方向程序员（实习生/助理）,4K-6K,南京达内为上信息技术有限公司,南京,不限,中专,1000-9999人,外商独资,五险一金/年底双薪/绩效奖金/全勤奖/包吃,2019-04-24 10:34:01,
5K急聘Java开发,4K-6K,南京达内为上信息技术有限公司,南京,不限,中专,1000-9999人,上市公司,五险一金/年底双薪/绩效奖金/加班补助/餐补,2019-04-24 21:36:38,
初级Java开发/双休,4K-6K,南京达内为上信息技术有限公司,南京,不限,大专,1000-9999人,上市公司,五险一金/年底双薪/绩效奖金/餐补/房补,2019-04-24 21:42:06,
急聘Java开发,4K-6K,南京达内为上信息技术有限公司,南京,不限,中专,1000-9999人,外商独资,五险一金/年底双薪/绩效奖金/全勤奖/包吃,2019-04-24 10:34:01,
高薪诚聘java开发,4K-6K,南京达内为上信息技术有限公司,南京,不限,中专,1000-9999人,上市公司,五险一金/年底双薪/绩效奖金/加班补助/餐补,2019-04-24 22:18:25,
Java开发方向程序员,4K-6K,南京达内为上信息技术有限公司,南京,不限,中专,1000-9999人,上市公司,五险一金/年底双薪/绩效奖金/加班补助/全勤奖,2019-04-24 17:05:51,
Java开发工程师/助理可实习培养储备人才,3K-6K,阜宁阜惠科技信息有限公司,南京,不限,大专,20-99人,合资,14薪/五险一金/绩效奖金/年终分红/全勤奖,2019-04-23 10:09:56,
急聘java开发实习生（待遇好，有人带）,3.5K-5.5K,南京华锐软件开发有限公司,南京,不限,大专,100-499人,民营,五险一金/年底双薪/绩效奖金/年终分红/带薪年假,2019-04-20 11:13:27,
初级Java开发程序员/Java开发助理接收,4K-6K,阜宁阜惠科技信息有限公司,南京,不限,大专,20-99人,合资,五险一金/年底双薪/绩效奖金/加班补助/全勤奖,2019-04-21 17:21:02,
JAVA开发工程师,9K-15K,南京联成科技发展股份有限公司,南京-浦口区,3-5年,本科,100-499人,民营,节日福利/五险一金/绩效奖金/餐补/通讯补助,2019-04-24 08:59:50,
java开发工程师,10K-16K,南京科融数据系统股份有限公司,南京,3-5年,本科,100-499人,股份制企业,五险一金/绩效奖金/定期体检/节日福利,2019-04-22 19:13:49,
